"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 03 22:39:04 UTC 2026","Sat Jan 03 22:40:02 UTC 2026","58187","","Start Examination","","Ensure examination or try out can be interact and the result will be display","","Ensure examination or try out can be interact and the result will be display",""
"passed","Sat Jan 03 22:38:45 UTC 2026","Sat Jan 03 22:39:04 UTC 2026","18510","","Checkout Process","","User choose product and product will be successfully add to purchase process","","User choose product and product will be successfully add to purchase process",""
"passed","Sat Jan 03 22:40:02 UTC 2026","Sat Jan 03 22:40:24 UTC 2026","22203","","Login to dashboard","","User can login for access the dashboard","","User can login for access the dashboard",""
"passed","Sat Jan 03 22:40:48 UTC 2026","Sat Jan 03 22:40:52 UTC 2026","3801","","Register Page","","Check validation email on Register Page","","Check validation email on Register Page","    User should be register account with valid data"
"passed","Sat Jan 03 22:40:52 UTC 2026","Sat Jan 03 22:40:57 UTC 2026","5328","","Register Page","","Check validation email on Register Page","","Check validation email on Register Page","    User should be register account with valid data"
"passed","Sat Jan 03 22:40:24 UTC 2026","Sat Jan 03 22:40:48 UTC 2026","23436","","Register Page","","Register with valid data","","Register with valid data","    User should be register account with valid data"
